Iteration,Loading Time (seconds),Element Time (seconds)
1,1.5832951068878174,0.008994579315185547
2,1.660210371017456,0.006999492645263672
3,2.2154018878936768,0.008991718292236328
4,3.2219629287719727,0.009993553161621094
5,1.8070149421691895,0.012000083923339844
6,1.9046568870544434,0.009005546569824219
7,1.8198847770690918,0.00800013542175293
8,2.4597690105438232,0.007984399795532227
9,3.000023126602173,0.009009122848510742
10,6.262041807174683,0.008000373840332031
11,1.850799560546875,0.008000612258911133
12,1.4897229671478271,0.008007049560546875
13,2.835176467895508,0.007999897003173828
14,1.5859205722808838,0.007994890213012695
15,1.9025118350982666,0.00900125503540039
16,1.1703460216522217,0.007990598678588867
17,1.377598762512207,0.008008480072021484
18,1.4943878650665283,0.007991313934326172
19,1.4272658824920654,0.008009672164916992
20,1.8710832595825195,0.007997751235961914
